null	No.	OK	change	protein name	old
	0		@	hypothetical protein	uncharacterized protein
	0		@	hypothetical protein	Putative uncharacterized protein
	1		@	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	(3R)-hydroxymyristoyl-[acyl carrier protein] dehydratase
	2			(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase	(3R)-hydroxymyristoyl-[acyl-carrier-protein] dehydratase
	3			(dimethylallyl)adenosine tRNA methylthiotransferase MiaB	(dimethylallyl)adenosine tRNA methylthiotransferase MiaB
	4		@	(dimethylallyl)adenosine tRNA methylthiotransferase MiaB	isopentenyl-adenosine A37 tRNA methylthiolase
	5		@	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
	6			(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate reductase/30S ribosomal protein S1
	7		@	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate synthase
	8		@	(E)-4-hydroxy-3-methylbut-2-enyl diphosphate synthase	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase
	9		@	(p)ppGpp hydrolase	"guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"
	10		@	(p)ppGpp synthase	GTP pyrophosphokinase
	11		@	(p)ppGpp synthase/hydrolase	"GTP pyrophosphokinase/guanosine-3',5'-bis(diphosphate) 3'-pyrophosphohydrolase"
	12		@	(p)ppGpp synthase/hydrolase	"GTP pyrophosphokinase/guanosine-3',5'-bis(diphosphate) 3-pyrophosphohydrolase"
	13			(p)ppGpp synthase/hydrolase SpoT	(p)ppGpp synthase/hydrolase SpoT
	14		@	(p)ppGpp synthase/polynucleotide phosphorylase	guanosine pentaphosphate synthetase/polynucleotide phosphorylase
	15		@	(p)ppGpp synthase/polynucleotide phosphorylase	guanosine pentaphosphate synthetase/polyribonucleotide nucleotidyltransferase
	16		@	"(R)-2-(2,4-dichlorophenoxy)propionate dioxygenase"	"R-2,4-dichlorophenoxypropionate dioxygenase"
	17			(R)-2-hydroxyacid CoA-transferase	(R)-2-hydroxyacid CoA-transferase
	18		@	(R)-2-hydroxyacyl-CoA dehydratase activator	activator of (R)-2-hydroxyacyl-CoA dehydratase
	19			(R)-2-hydroxyacyl-CoA dehydratase subunit	(R)-2-hydroxyacyl-CoA dehydratase subunit
	20		@	(R)-2-hydroxyglutaryl-CoA dehydratase activator	activator of (R)-2-hydroxyglutaryl-CoA dehydratase
	21			(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha	(R)-2-hydroxyglutaryl-CoA dehydratase subunit alpha
	22			(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta	(R)-2-hydroxyglutaryl-CoA dehydratase subunit beta
	23			(R)-3-hydroxydecanoyl-ACP--CoA transacylase	(R)-3-hydroxydecanoyl-ACP--CoA transacylase
	24			(R)-citramalate synthase	(R)-citramalate synthase
	25			(R)-specific enoyl-CoA hydratase	(R)-specific enoyl-CoA hydratase
	26			"(R,R)-butanediol dehydrogenase"	"(R,R)-butanediol dehydrogenase"
	27			"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase"	"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase"
	28		@	"(S)-2,3-di-O-geranylgeranylglyceryl phosphate synthase"	"(S)-2,3-Di-O-geranylgeranylglyceryl synthase"
	29			[citrate (pro-3S)-lyase] ligase	[citrate (pro-3S)-lyase] ligase
	30		@	[citrate (pro-3S)-lyase] ligase	citrate lyase ligase
	31		@	[Fe]-hydrogenase	iron hydrogenase
	32			[Fe]-hydrogenase subunit	[Fe]-hydrogenase subunit
	33		@	[Fe]-hydrogenase subunit HupA	uptake hydrogenase subunit HupA
	34		@	[Fe]-hydrogenase subunit HupB	uptake hydrogenase subunit HupB
	35		@	[Fe]-hydrogenase subunit HupC	uptake hydrogenase subunit HupC
	36		@	[NiFe]-hydrogenase 1 b-type cytochrome subunit HyaC	NiFe-hydrogenase 1 b-type cytochrome subunit
	37		@	[NiFe]-hydrogenase 1 chaperone HyaE	NiFe-hydrogenase 1 chaperone
	38		@	[NiFe]-hydrogenase 1 large subunit HyaB	NiFe-hydrogenase 1 large subunit
	39		@	[NiFe]-hydrogenase 1 maturation protease HyaD	NiFe-hydrogenase 1 maturation protease
	40		@	[NiFe]-hydrogenase 1 nickel incorporation protein HyaF	NiFe-hydrogenase 1 nickel incorporation protein
	41		@	[NiFe]-hydrogenase 1 small subunit HyaA	NiFe-hydrogenase 1 small subunit
	42		@	[NiFe]-hydrogenase 2 accessory protein HybG	NiFe-hydrogenase 2 accessory protein HybG
	43		@	[NiFe]-hydrogenase 2 b-type cytochrome subunit HybB	NiFe-hydrogenase 2 b-type cytochrome subunit
	44		@	[NiFe]-hydrogenase 2 chaperone HybE	NiFe-hydrogenase 2 chaperone
	45		@	[NiFe]-hydrogenase 2 iron-sulfur subunit HybA	NiFe-hydrogenase 2 iron-sulfur subunit
	46		@	[NiFe]-hydrogenase 2 large subunit HybC	NiFe-hydrogenase 2 large subunit
	47		@	[NiFe]-hydrogenase 2 maturation protease HybD	NiFe-hydrogenase 2 maturation protease
	48		@	[NiFe]-hydrogenase 2 nickel incorporation protein HybF	NiFe-hydrogenase 2 nickel incorporation protein HybF
	49		@	[NiFe]-hydrogenase 2 small subunit HybO	NiFe-hydrogenase 2 small subunit
	50		@	[NiFe]-hydrogenase 3 large subunit HycE	NiFe-hydrogenase 3 large subunit
	51		@	[NiFe]-hydrogenase 3 maturation protease HycI	hydrogenase maturation protease HycI
	52		@	[NiFe]-hydrogenase 3 maturation protease HycI	NiFe-hydrogenase 3 maturation protease
	53		@	[NiFe]-hydrogenase 3 maturation protein HycH	NiFe-hydrogenase 3 maturation protein HycH
	54		@	[NiFe]-hydrogenase 3 nickel incorporation protein	NiFe-hydrogenase 3 nickel incorporation protein
	55		@	[NiFe]-hydrogenase 3 nickel incorporation protein HypA	NiFe-hydrogenases 3 nickel incorporation protein HypA
	56		@	[NiFe]-hydrogenase 3 nickel incorporation protein HypB	NiFe-hydrogenases 3 nickel incorporation protein HypB
	57		@	[NiFe]-hydrogenase 3 small subunit HycG	NiFe-hydrogenase 3 small subunit
	58		@	[NiFe]-hydrogenase 4 component A	NiFe-hydrogenase 4 component A
	59		@	[NiFe]-hydrogenase 4 component B	NiFe-hydrogenase 4 component B
	60		@	[NiFe]-hydrogenase 4 component C	NiFe-hydrogenase 4 component C
	61		@	[NiFe]-hydrogenase 4 component D	NiFe-hydrogenase 4 component D
	62		@	[NiFe]-hydrogenase 4 component E	NiFe-hydrogenase 4 component E
	63		@	[NiFe]-hydrogenase 4 component F	NiFe-hydrogenase 4 component F
	64		@	[NiFe]-hydrogenase 4 component G	NiFe-hydrogenase 4 component G
	65		@	[NiFe]-hydrogenase 4 component H	NiFe-hydrogenase 4 component H
	66		@	[NiFe]-hydrogenase 4 component I	NiFe-hydrogenase 4 component I
	67		@	[NiFe]-hydrogenase 4 component J	NiFe-hydrogenase 4 component J
	68		@	[NiFe]-hydrogenase alpha subunit	NiFe hydrogenase alpha subunit
	69		@	[NiFe]-hydrogenase beta subunit	NiFe hydrogenase beta subunit
	70			[NiFe]-hydrogenase b-type cytochrome subunit	[NiFe]-hydrogenase b-type cytochrome subunit
	71		@	[NiFe]-hydrogenase b-type cytochrome subunit	Ni/Fe-hydrogenase b-type cytochrome subunit
	72		@	[NiFe]-hydrogenase delta subunit	NiFe hydrogenase delta subunit
	73		@	[NiFe]-hydrogenase expression/formation protein HupG	hydrogenase expression/formation protein HupG
	74		@	[NiFe]-hydrogenase gamma subunit	NiFe hydrogenase gamma subunit
	75			[NiFe]-hydrogenase large subunit	[NiFe]-hydrogenase large subunit
	76		@	[NiFe]-hydrogenase large subunit	membrane bound hydrogenase NiFe-hydrogenase large subunit
	77		@	[NiFe]-hydrogenase large subunit	Ni/Fe-hydrogenase large subunit
	78		@	[NiFe]-hydrogenase large subunit	NiFe hydrogenase large subunit
	79		@	[NiFe]-hydrogenase large subunit	NiFe uptake hydrogenase large subunit
	80		@	[NiFe]-hydrogenase maturation protease	hydrogenase maturation protease
	81		@	[NiFe]-hydrogenase maturation protease	hydrogenase-specific maturation endopeptidase
	82		@	[NiFe]-hydrogenase maturation protease HoxW	hoxW protein
	83		@	[NiFe]-hydrogenase maturation protein	hydrogenase maturation protein
	84		@	[NiFe]-hydrogenase maturation protein HoxX	HoxX-like protein
	85		@	[NiFe]-hydrogenase maturation protein HypC	[NiFe] hydrogenase expression/formation protein HypC
	86		@	[NiFe]-hydrogenase maturation protein HypC	hydrogenase expression/formation protein HypC
	87		@	[NiFe]-hydrogenase maturation protein HypC	hydrogenase formation protein HypC
	88		@	[NiFe]-hydrogenase maturation protein HypC	hydrogenase maturation protein HypC
	89		@	[NiFe]-hydrogenase maturation protein HypC	Ni-Fe hydrogenase maturation protein HypC
	90		@	[NiFe]-hydrogenase maturation protein HypC	NiFe-hydrogenase 3 chaperone
	91		@	[NiFe]-hydrogenase maturation protein HypD	[NiFe] hydrogenase expression/formation protein HypD
	92		@	[NiFe]-hydrogenase maturation protein HypD	hydrogenase expression/formation protein HypD
	93		@	[NiFe]-hydrogenase maturation protein HypD	hydrogenase formation protein HypD
	94		@	[NiFe]-hydrogenase maturation protein HypD	hydrogenase maturation protein HypD
	95		@	[NiFe]-hydrogenase maturation protein HypD	Ni-Fe hydrogenase maturation protein HypD
	96		@	[NiFe]-hydrogenase maturation protein HypD	NiFe-hydrogenases maturation protein HypD
	97		@	[NiFe]-hydrogenase maturation protein HypE	hydrogenase expression/formation protein HypE
	98		@	[NiFe]-hydrogenase maturation protein HypE	hydrogenase formation protein HypE
	99		@	[NiFe]-hydrogenase maturation protein HypE	hydrogenase maturation protein HypE
	100		@	[NiFe]-hydrogenase maturation protein HypE	Ni-Fe hydrogenase maturation protein HypE
	101		@	[NiFe]-hydrogenase maturation protein HypE	NiFe-hydrogenases maturation protein HypE
	102		@	[NiFe]-hydrogenase maturation protein HypF	carbamoyltransferase HypF
	103		@	[NiFe]-hydrogenase maturation protein HypF	hydrogenase maturation protein HypF
	104		@	[NiFe]-hydrogenase maturation protein HypF	Ni-Fe hydrogenase maturation protein HypF
	105		@	[NiFe]-hydrogenase maturation protein HypF	NiFe-hydrogenases maturation protein HypF
	106		@	[NiFe]-hydrogenase nickel incorporation protein HupN	hydrogenase nickel incorporation protein HupN
	107		@	[NiFe]-hydrogenase nickel incorporation protein HypA	hydrogenase nickel incorporation protein HypA
	108		@	[NiFe]-hydrogenase nickel incorporation protein HypA	Ni-Fe hydrogenase maturation protein HypA
	109		@	[NiFe]-hydrogenase nickel incorporation protein HypB	hydrogenase accessory protein HypB
	110		@	[NiFe]-hydrogenase nickel incorporation protein HypB	hydrogenase isoenzymes nickel incorporation protein HypB
	111		@	[NiFe]-hydrogenase nickel incorporation protein HypB	hydrogenase nickel incorporation protein HypB
	112		@	[NiFe]-hydrogenase nickel incorporation protein HypB	NiFe-hydrogenases nickel incorporation protein HypB
	113			[NiFe]-hydrogenase small subunit	[NiFe]-hydrogenase small subunit
	114		@	[NiFe]-hydrogenase small subunit	membrane bound hydrogenase NiFe-hydrogenase small subunit
	115		@	[NiFe]-hydrogenase small subunit	Ni/Fe-hydrogenase small subunit
	116		@	[NiFe]-hydrogenase small subunit	NiFe hydrogenase small subunit
	117		@	[NiFe]-hydrogenase small subunit	NiFe uptake hydrogenase small subunit
	118			[protein-PII] uridylyltransferase	[protein-PII] uridylyltransferase
	119		@	[protein-PII] uridylyltransferase	PII uridylyltransferase
	120		@	[protein-PII] uridylyltransferase	PII uridylyl-transferase
