#検索キーワード	辞書	match	count	結果1	結果1_ID	結果1_検索順位	結果2	結果2_ID	結果2_検索順位	結果3	結果3_ID	結果3_検索順位	結果4	結果4_ID	結果4_検索順位	結果5	結果5_ID	結果5_検索順位	結果6	結果6_ID	結果6_検索順位	結果7	結果7_ID	結果7_検索順位	結果8	結果8_ID	結果8_検索順位	結果9	結果9_ID	結果9_検索順位	結果10	結果10_ID	結果10_検索順位
3-dehydroquinate dehydratase, type II	univ	cs	10	type II 3-dehydroquinate dehydratase	009c6e6f44459c314006c4b6769cf7acmlt_after	type I 3-dehydroquinate dehydratase	3809c62385a5f3c2790b2cee71069fa4mlt_after	3-dehydroquinate dehydratase	c6679d82df283c4bd62b98d98cdf3419mlt_after	3-dehydroquinate dehydratase 1	09cf32d6cd493db91c1f415cba1a3a4amlt_after	3-dehydroquinate dehydratase 2	ab487641e4bf9f26e8f7ec8a8e076316mlt_after	Dehydroquinate dehydratase	243d5698928c2ab45481078f9e623212mlt_after	Catabolic 3-dehydroquinate dehydratase	3b8557f35d52d0e0eb985e689b4c2548mlt_after	3-dehydroquinate synthase II	107b78c634f52e009a2399bfb149a448mlt_after	bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase protein	ff5eee5c6769f9be3558b4f95b90c360mlt_after	3-dehydroquinate synthase	fc2cf3985f2b20734250009ef419c51fmlt_after	Bifunctional 3-dehydroquinate dehydratase/shikimate dehydrogenase, chloroplastic	415c03a1faa7120ff95cf5dbef01791bmlt_after	Catabolic 3-dehydroquinase	ba3f485c8118b98872b700085ad17f9emlt_after	Catabolic 3-dehydroquinase 1	b68b8a42df4b3787f40ed6af0f8f54b3mlt_after	Catabolic 3-dehydroquinase 2	912a2caca8aab986297609456bcaf70dmlt_after	3-dehydroquinate synthase homolog	0723226a84c48cbf1c6baa2b4cf0cf2fmlt_after
3-oxoacyl-(acyl-carrier-protein) reductase	univ	cs	10	3-oxoacyl-[acyl-carrier-protein] reductase	85e0039815e5a34c6342677a7882fd1emlt_after	3-oxoacyl-[acyl-carrier-protein] reductase 4	22191595209cd872004a8ef1cd37a678mlt_after	3-ketoacyl-(acyl-carrier-protein) reductase	00c4289e1f208dc84179e1537d28e8bbmlt_after	3-oxoacyl-[acyl-carrier-protein] reductase FabG	d85c7b9cfb10270d75e8dcb83f4a17c2mlt_after	3-oxoacyl-[acyl-carrier-protein] reductase FabG1	5b3558168d0d7a1243059d692fec7f3amlt_after	3-ketoacyl-(acyl-carrier-protein) reductase NodG	64b052a12bf7380e43a3b5d5258aee1bmlt_after	3-oxoacyl-(acyl carrier protein) synthase	89fdd931dd8caea3740113ef28feff4bmlt_after	3-oxoacyl-(acyl carrier protein) synthase II	2ebe6ad93b8058b2c4c000b835991998mlt_after	3-oxoacyl-(acyl carrier protein) synthase III	bf6a7eca431cda667d33e66e601472edmlt_after	3-oxoacyl-[acyl-carrier-protein] reductase 1, chloroplastic	10e4a311d971dca5bd62ccf795c0121fmlt_after	3-oxoacyl-[acyl-carrier-protein] reductase 2, chloroplastic	4aedf9d90d0269915d58bacf23ece737mlt_after	3-oxoacyl-[acyl-carrier-protein] reductase 3, chloroplastic	05bcca16247ab759546562658f5f9f58mlt_after	3-oxoacyl-[acyl-carrier-protein] reductase 5, chloroplastic	07e5d544a671f4ff4de9751e5f5b3206mlt_after	3-oxoacyl-[acyl-carrier-protein] reductase, chloroplastic	258aa29276ec59261861f01f814f7171mlt_after	3-oxoacyl-[acyl-carrier-protein] synthase	c930907997592893202da2a37f0604b4mlt_after
4Fe-4S ferredoxin, iron-sulfur binding	univ	cs	10	4Fe-4S ferredoxin FdxA	202550df1fdeb6d95173083ab04246c2mlt_after	ferredoxin, 4Fe-4S	97d520dd937a8077099d37dfe082006emlt_after	iron-sulfur-binding oxidoreductase FadF	9f642b359a6e5d4eb31b3e8fc93aa571mlt_after	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA	711bc3509da565c745f03e9692e8b2aamlt_after	Xanthine dehydrogenase iron-sulfur-binding subunit	c1c8123b8deeedc20b30e3216e392c56mlt_after	xanthine dehydrogenase iron-sulfur-binding subunit XdhC	5e24d4d78b704bde452f8f8ba9c8f845mlt_after	ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein	9432fc42698c68c3d703a6f668aa50dcmlt_after	Iron-sulfur protein IND1	ccd36a9dcd3137c83ed0138029be1bbemlt_after	Uncharacterized P450-system 3Fe-4S ferredoxin y4lB	ac1d44ffb6124de01da98f5902b3aa58mlt_after	iron-sulfur cluster-binding domain-containing protein	ea2b8f6c2e8c6fc265dbb4b342070e18mlt_after	Uncharacterized P450-system 3Fe-4S ferredoxin blr2145.1	fa2a1728678a13804b9da5548b9bef3emlt_after	Iron-sulfur cluster repair protein DnrN	c8d5adf9081cef40056daee0d0357ce1mlt_after	Menaquinone reductase, iron-sulfur cluster-binding subunit	26fcc2312dd9d36926961fc53da33160mlt_after	iron-sulfur cluster repair di-iron protein ScdA	380e8da98457cb6014c8fbe5a4240554mlt_after	iron-sulfur cluster repair protein YtfE	ff7dab580a84d79524ca5937be99515amlt_after
4Fe-4S ferredoxin, iron-sulfur binding domain protein	univ	cs	10	4Fe-4S ferredoxin FdxA	202550df1fdeb6d95173083ab04246c2mlt_after	iron-sulfur cluster-binding domain-containing protein	ea2b8f6c2e8c6fc265dbb4b342070e18mlt_after	iron-sulfur-binding oxidoreductase FadF	9f642b359a6e5d4eb31b3e8fc93aa571mlt_after	ferredoxin:protochlorophyllide reductase (ATP-dependent) iron-sulfur ATP-binding protein	9432fc42698c68c3d703a6f668aa50dcmlt_after	Ferredoxin-fold anticodon-binding domain-containing protein 1	5f94800f09afe0fcc98bdf7cfeaf6c99mlt_after	Aldehyde oxidoreductase iron-sulfur-binding subunit PaoA	711bc3509da565c745f03e9692e8b2aamlt_after	Xanthine dehydrogenase iron-sulfur-binding subunit	c1c8123b8deeedc20b30e3216e392c56mlt_after	Ferredoxin-fold anticodon-binding domain-containing protein 1 homolog	6fb135ea85986818f78c57c16e44bba8mlt_after	Iron-sulfur protein IND1	ccd36a9dcd3137c83ed0138029be1bbemlt_after	xanthine dehydrogenase iron-sulfur-binding subunit XdhC	5e24d4d78b704bde452f8f8ba9c8f845mlt_after	CDGSH iron-sulfur domain-containing protein 1	67ff48349118140f5e2dbc5108146e82mlt_after	CDGSH iron-sulfur domain-containing protein 2	91d260d50338b9b50ad2f6efbc564154mlt_after	Iron-sulfur protein	de2717c321300cd3d2ae961ef20f4e72mlt_after	CDGSH iron-sulfur domain-containing protein 2A	4c62ca5e1078b5e7a8ed5f6a2468fe4cmlt_after	CDGSH iron-sulfur domain-containing protein 2B	c66dde44f3a0619c5e1851c280a0b317mlt_after
50S ribosomal protein L5 (BL6)	univ	cs	10	60S ribosomal protein L5-B	a04954f68c8de80fa492917f60613f2bmlt_after	50S ribosomal protein L5	777edc34448a7895238a72019f5df3b2mlt_after	60S ribosomal protein L5	de89c85cf615ae33f0bf54c1753a76b9mlt_after	50S ribosomal protein L5, plastid	3c0afb8a23a08b5c3dc01627470e116fmlt_after	60S ribosomal protein L5-1	071bc46820361cbfcaf509110e420a19mlt_after	60S ribosomal protein L5-2	a42970e5fc3f8e546f1e3ec346909147mlt_after	60S ribosomal protein L5-A	03ead1f7e48779e8ee5d844bf7c6267bmlt_after	50S ribosomal protein L4	985add36ff724553dcf0db5bc3be2ae7mlt_after	50S ribosomal protein L1	6ad06ec2bf17d544a50cae618bb76874mlt_after	50S ribosomal protein L6	e7b0256373939f5b3ba6c966c35754e1mlt_after	50S ribosomal protein L9	85efc0d69a8a106b6ac4e445b8f90d80mlt_after	50S ribosomal protein L3	48aff599a6403467e3b6819b345e8724mlt_after	50S ribosomal protein L2	a28d05772db5bb7fe15ae99bfb76bcc0mlt_after	50S ribosomal protein L5, cyanelle	dbb6894927df86afff4e8b50c59f497dmlt_after	50S ribosomal protein L16	048c4899c0dacc577682cc1bd26dcf75mlt_after
ATP synthase C chain (Lipid-binding protein)(Dicyclohexylcarbodiimide-binding protein)	univ	cs	10	ATP synthase lipid-binding protein, mitochondrial	127c9b6cfff72bc98e74f4055ac0793emlt_after	Uncharacterized ATP synthase C chain-like protein	85e1da677e2d3aec1309a47d9342107amlt_after	lipid-binding protein AIR1	262b3fc90942680e75623ece937475e0mlt_after	lipid-binding protein AIR1B	b955caa9f36f12e95d0448ef12bd0854mlt_after	lipid-binding protein At4g00165	9070256e7b7d9095bd32bd9060ad4a6dmlt_after	phospholipid-binding protein MlaC	7e1d20a4583ef2adc139cc6e3e04c3f4mlt_after	C4-dicarboxylate-binding protein DctB	cba0a1a93301987a4daccdad1bcca0f2mlt_after	Membrane-anchored lipid-binding protein LAM1	ed6f2858ae4e98721c95441d3954ed1emlt_after	Membrane-anchored lipid-binding protein LAM4	8ea30c7a557fc07553fa0bfad0e5ca38mlt_after	Membrane-anchored lipid-binding protein LAM5	32cc00a52382e88808cd25655172c710mlt_after	Membrane-anchored lipid-binding protein LAM6	167e2fa72916e10fe8d74ce7cd4c572fmlt_after	base-induced perplasmic lipid-binding protein	1f3fcec396fbd2fe1b67b2cf11f617bfmlt_after	Nucleotide-binding protein Dtpsy_0831	6621819480fae7ffc2200bbe73b0aa37mlt_after	Lipopolysaccharide-binding protein	7cace96254c239fa676ce7a3fd220318mlt_after	Membrane-anchored lipid-binding protein SIP3	5055b21ce7f3eb5cb12df445173e5ab6mlt_after
ComEC/Rec2 family protein	univ	cs	10	band 7/Mec-2 family protein	70269aed57f75f05ccea51fbda8ec682mlt_after	ComEC family protein	522623161f93942c902b901b71aab847mlt_after	PAP2 family protein	d841228929d0996b73d80c99af827392mlt_after	cytochrome c family protein	1d439786f5efb71a5ca5a0ea4b483497mlt_after	FAM172 family protein homolog	ba3fa2213382f7e3c98627693293b689mlt_after	Uncharacterized NOC2 family protein C1142.04	a048694d5532b72cf2f51a598292aeeemlt_after	Uncharacterized NOC2 family protein C1B3.09c	2ca7458c9a0ff3d9d917065ad0c84b5dmlt_after	SXP/RAL-2 family protein Ani s 5	d5d8927bf99baadd7712729ef36d15c4mlt_after	Ig family protein	804c18e09fb0bd75c4d05d8d2ec9bce1mlt_after	FAM172 family protein homolog CG10038	c714faf027df9380cc622eb30afde09dmlt_after	VOC family protein	cde9b5664c06f5ea04252d2dd23abe17mlt_after	BTG family protein	71ac3b4d376e431d687cd8f6cfca1a3amlt_after	SMF family protein	03aded1600774815ad151943f0f72498mlt_after	FAM172 family protein homolog Y75B8A.31	4f1c2e7b802c5c4723a5b8f29a224cc4mlt_after	U32 family peptidase	c724d86857b3133dce7c50c2283082e2mlt_after
CrcB protein	univ	cs	10	camphor resistance protein CrcB	ee99231526081047027258c5a645fed0mlt_after	Chorion class CB protein M5H4	66b160d39c14702e55ee8835e8b96aa8mlt_after	Assembly factor CBP4	8cbfbf8c642b0cba4c1b42c171c44f2bmlt_after	Assembly factor cbp-4	4687abf458c738e4eec4e72ebd56768amlt_after	Chorion class CB protein PC404	7cd3e4c8bc282f65ce15600cc6e75c69mlt_after	Chorion class CB protein PCH12	b8af86b7a337682f33ec6635d945da3fmlt_after	12S seed storage protein CRC beta chain	004b336f163782bcfd5c1e2ac85def90mlt_after	chaperone modulator CbpM	fa1811adb76279e70b1073faf97e6373mlt_after	Chorion class high-cysteine HCB protein 12	7e9a5bfd82e6a3268f8e796d74912af7mlt_after	Chorion class high-cysteine HCB protein 13	1c69c50f7a235635e4d967cde10c3a72mlt_after	fluoride ion transporter CrcB	14f59697b56c2be707611561d6d9b967mlt_after	fluoride ion transporter CrcB 1	9518e279e63d1c97aa296f6f52d834bbmlt_after	fluoride ion transporter CrcB 2	d6ed59d48fb8c4d481c6b342ba9a313dmlt_after	fluoride ion transporter CrcB 3	76cd79a18975dbcb0502213e32ab0197mlt_after	fluoride ion transporter CrcB 4	a63c531f1684e2ec7c5cb7ca36629bffmlt_after
D-alanine--D-alanine ligase (D-alanylalanine synthetase)(D-Ala-D-Ala ligase)	univ	cs	10	D-alanyl-alanine synthetase A	b0dc07d5df6778b402da6e71372da4bdmlt_after	bifunctional D-alanyl-alanine synthetase A/UDP-N-acetylmuramate--L-alanine ligase	07eb5d599b970e79d0765d97c0c64c80mlt_after	D-alanine--D-alanine ligase	ca61dc4b1412be6ade761bb6396d9491mlt_after	D-alanine--D-alanine ligase A	7f3719904ff31359347c077831c7f278mlt_after	D-alanine--D-alanine ligase B	93cb8bcbdc00297044284c07928785edmlt_after	D-alanine--D-serine ligase	ecbbc84b99e8ff1b8e571d0ac66315e5mlt_after	D-alanine--D-alanyl carrier protein ligase	215191cafc8e52ae1ee52dc0d97c003fmlt_after	phenylalanyl-tRNA synthetase (beta	61a0e26153d509078bc3d933fc0b5ac8mlt_after	D-alanine--D-serine ligase VanL	e68e6939763725b99ee6e7e02c7731cfmlt_after	D-alanine--D-serine ligase VanE	17ac8b7178decf2cbb3ae5ea36090e44mlt_after	D-alanine--D-serine ligase VanG	09365ae0394bb030a17803953b83a0bfmlt_after	D-alanine--D-serine ligase VanN	dedd7d33c9b1e5ae89cee6252fd4491bmlt_after	D-alanine--D-serine ligase VanC	0346f3fa9c2c6e2b244f0cc4f94cd6abmlt_after	D-alanine--D-serine ligase VanC1	5b375811b21a580ec66401783d6ebd2amlt_after	UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diaminopimelate--D-alanyl-D-alanine ligase	ae9369576004b6f95ab12858b970c18dmlt_after
DNA ligase (Polydeoxyribonucleotide synthase [ATP])	univ	cs	10	DNA ligase (polydeoxyribonucleotide syntase)	2eecfb0f4e718ea4cd223b65d550c139mlt_after	DNA ligase (polydeoxyribonucleotide	b40366817636ed93c349aa8bd43b47b1mlt_after	5'(3')-deoxyribonucleotidase	e65b76ff8183d5fc39c473f14240ca2cmlt_after	5'(3')-deoxyribonucleotidase R824	58bf5b311648f7222a645a0661235297mlt_after	Deoxyribonuclease	acacfdd83661ae41a1c5ff643a046ecamlt_after	deoxyribonuclease V	9d3ada208f1f8f9d2925584e63f292e9mlt_after	deoxyribonuclease I	31327e20996f10b49116437b34399236mlt_after	Deoxyribonuclease-1	fe1bafde3d487ec702c24930318ac463mlt_after	Deoxyribonuclease-2	70929223d25fef798d68827a1d77eedcmlt_after	deoxyribonuclease IV	7d1963e3b1ba9a6dc91cd427c160e004mlt_after	polyribonucleotide nucleotidyltransferase (polynucleotide phosphorylase)	26174967b0ed0302d2c3a1c2a51438e9mlt_after	Exodeoxyribonuclease	a1ba4d19f76353be1d2191d7d0d40adfmlt_after	5-(carboxyamino)imidazole ribonucleotide synthase	85c1534d43f66e2fdcde9bf97c6d9fbcmlt_after	N5-carboxyaminoimidazole ribonucleotide synthase	e10663918592dfc78112065f0abbc638mlt_after	exodeoxyribonuclease X	e1803e47e0474580a411775d8831a6bfmlt_after
