	76747_LBU_1691.faa			(S)-2-hydroxy-acid oxidase chain D	(S)-2-hydroxy-acid oxidase chain D
	123615_BN194_20270.faa			[citrate (Pro-3S)-lyase] ligase	[citrate (Pro-3S)-lyase] ligase
	25436_LEUM_1001.faa			1-acyl-sn-glycerol-3-phosphate acyltransferase	1-acyl-sn-glycerol-3-phosphate acyltransferase
	23089_LGAS_0350.faa			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxy-D-xylulose-5-phosphate synthase
	76480_LBU_1424.faa			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxyxylulose-5-phosphate synthase
	76481_LBU_1425.faa			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxyxylulose-5-phosphate synthase
	76482_LBU_1426.faa			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxyxylulose-5-phosphate synthase
	76483_LBU_1427.faa			1-deoxy-D-xylulose-5-phosphate synthase	1-deoxyxylulose-5-phosphate synthase
	165693_LACWKB8_0202.faa			1-phosphofructokinase	1-phosphofructokinase
	19529_OEOE_0206.faa			1,4-beta-N-acetylmuramidase	lyzozyme M1 (1,4-beta-N-acetylmuramidase)
	19701_OEOE_0407.faa			1,4-beta-N-acetylmuramidase	lyzozyme M1 (1,4-beta-N-acetylmuramidase)
	24178_LGAS_1488.faa			1,4-beta-N-acetylmuramidase	lyzozyme M1 (1,4-beta-N-acetylmuramidase)
	25840_LEUM_1413.faa			1,4-beta-N-acetylmuramidase	lyzozyme M1 (1,4-beta-N-acetylmuramidase)
	31202_PEPE_0807.faa			1,4-beta-N-acetylmuramidase	lyzozyme M1 (1,4-beta-N-acetylmuramidase)
	135625_LBP_p7g017.faa			1,4-dihydroxy-2-naphthoate octaprenyltransferase	1,4-dihydroxy-2-naphthoate octaprenyltransferase
	67827_HMPREF0538_21082.faa			2-dehydropantoate 2-reductase	2-dehydropantoate 2-reductase
	114504_TEH_05280.faa			2-hydroxy-3-oxopropionate reductase	2-hydroxy-3-oxopropionate reductase
	34726_LSEI_2673.faa			2-keto-3-deoxy-6-phosphogluconate aldolase	2-keto-3-deoxy-6-phosphogluconate aldolase
	34726_LSEI_2673.faa			2-dehydro-3-deoxygluconokinase	2-dehydro-3-deoxygluconokinase
	80632_HMPREF9243_2052.faa			2-oxo acid dehydrogenase acyltransferase (catalytic domain)	2-oxo acid dehydrogenase acyltransferase (catalytic domain)
	133307_LBP_cg0859.faa			2-oxoglutarate translocator	2-oxoglutarate translocator
	25281_LEUM_0839.faa			2,2-dialkylglycine decarboxylase	aminotransferase
	5007_EF_1133.faa			2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2-carboxylate N-succinyltransferase
	104091_LSA_00450.faa			2,3,4,5-tetrahydropyridine-2,6-carboxylate N-succinyltransferase	2,3,4,5-tetrahydropyridine-2, 6-dicarboxylateN-ace tyltransferase
	94006_locus_2692.faa			2,5-diketo-D-gluconic acid reductase	2,5 diketo-D-gluconic acid-like reductase (C-terminal fragment), NADP dependent, (promiscuous)
	94007_lp_3157.faa			2,5-diketo-D-gluconic acid reductase	2,5 diketo-D-gluconic acid-like reductase (N-terminal fragment), NADP dependent, (promiscuous)
