MA3A0122S_0001	346	1	-	CDS	CDS	integrase domain protein		
MA3A0122S_0002	640	1074	+	CDS	CDS	hypothetical protein		
MA3A0122S_0003	1615	1064	-	CDS	CDS	putative acetyltransferase		
MA3A0122S_0004	2205	1612	-	CDS	CDS	regulatory protein, TetR family		
MA3A0122S_0005	2418	2543	+	CDS	CDS	hypothetical protein		
MA3A0122S_0006	2643	4232	+	CDS	CDS	alcohol dehydrogenase	alkJ	1.1.99.-
MA3A0122S_0007	4299	4592	+	CDS	CDS	hypothetical protein		
MA3A0122S_0008	4592	6463	+	CDS	CDS	hypothetical protein		
MA3A0122S_0009	6460	6972	+	CDS	CDS	hypothetical protein		
MA3A0122S_0010	7640	6969	-	CDS	CDS	putative phosphoglycerate mutase		
MA3A0122S_0011	7925	9160	+	CDS	CDS	acyl-CoA dehydrogenase		1.3.99.3
MA3A0122S_0012	10451	9150	-	CDS	CDS	hypothetical protein		
MA3A0122S_0013	10813	10472	-	CDS	CDS	hypothetical protein		
MA3A0122S_0014	12086	10956	-	CDS	CDS	dihydrodipicolinate reductase, domain protein		1.3.1.26
MA3A0122S_0015	12849	12067	-	CDS	CDS	3-oxoacyl-[acyl-carrier-protein] reductase	fabG20	1.1.1.100
MA3A0122S_0016	12909	13529	+	CDS	CDS	putative transcriptional regulator, TetR		
MA3A0122S_0017	13593	14525	+	CDS	CDS	putative OSMOPROTECTANT (GLYCINE BETAINE/CARNITINE/CHOLINE/L-PROLINE) BINDING LIPOPROTEIN PROX		
MA3A0122S_0018	14530	15636	+	CDS	CDS	glycine betaine/L-proline ABC superfamily ATP binding cassette transporter, ABC protein	proV	3.6.3.32
MA3A0122S_0019	15638	16291	+	CDS	CDS	glycine betaine/L-proline ABC superfamily ATP binding cassette transporter, permease protein	proW	
MA3A0122S_0020	16288	17040	+	CDS	CDS	osmoprotectant transport integral membrane protein ABC transporter ProZ	proZ	
MA3A0122S_0021	17161	17676	+	CDS	CDS	hypothetical protein		
MA3A0122S_0022	18557	17673	-	CDS	CDS	prephenate dehydrogenase	tyrA	1.3.1.12
MA3A0122S_0023	18704	19234	+	CDS	CDS	hypothetical protein		
MA3A0122S_0024	19231	19689	+	CDS	CDS	tRNA-specific adenosine deaminase	tadA	3.5.4.-
MA3A0122S_0025	20087	19752	-	CDS	CDS	hypothetical protein		
MA3A0122S_0026	20571	20275	-	CDS	CDS	hypothetical protein		
MA3A0122S_0028	21527	21826	+	CDS	CDS	hypothetical protein		
MA3A0122S_0029	21823	22710	+	CDS	CDS	hypothetical protein		
MA3A0122S_0030	23094	22846	-	CDS	CDS	hypothetical protein		
MA3A0122S_0031	23792	23241	-	CDS	CDS	hypothetical protein		
MA3A0122S_0032	23846	25066	+	CDS	CDS	queuine tRNA-ribosyltransferase	tgt	2.4.2.29
MA3A0122S_0033	25114	26343	+	CDS	CDS	cytochrome P450	cyp119	1.11.1.7
MA3A0122S_0034	27864	26419	-	CDS	CDS	putative amino acid ABC transporter, permease		
MA3A0122S_0035	28784	27909	-	CDS	CDS	glutamyl-queuosine tRNA(Asp) synthetase	gluQ	6.1.1.-
MA3A0122S_0036	29812	28781	-	CDS	CDS	ATP-dependent DNA ligase	ligC	6.5.1.1
MA3A0122S_0037	29864	30892	+	CDS	CDS	DNA polymerase LigD		
MA3A0122S_0038	30907	32151	+	CDS	CDS	hypothetical protein		
MA3A0122S_0039	32148	32654	+	CDS	CDS	hypothetical protein		
MA3A0122S_0040	33301	32651	-	CDS	CDS	putative CONSERVED TRANSMEMBRANE PROTEIN		
MA3A0122S_0042	34578	33421	-	CDS	CDS	major facilitator superfamily		
MA3A0122S_0043	34695	35669	+	CDS	CDS	oxidoreductase		1.-.-.-
MA3A0122S_0044	35795	36325	+	CDS	CDS	hypothetical protein		
MA3A0122S_0045	36322	37887	+	CDS	CDS	long-chain acyl-CoA synthetase		6.2.1.3
MA3A0122S_0046	37887	39092	+	CDS	CDS	3-hydroxybenzoate 6-hydroxylase 1	xlnD	1.14.13.24
MA3A0122S_0047	39093	41021	+	CDS	CDS	hypothetical protein		
MA3A0122S_0048	41018	42400	+	CDS	CDS	3-carboxy-cis,cis-muconate cycloisomerase	pcaB	5.5.1.2
MA3A0122S_0049	42527	44380	+	CDS	CDS	hypothetical protein		
MA3A0122S_0050	45852	47501	+	CDS	CDS	putative carboxylesterase		3.1.1.7
MA3A0122S_0051	47518	48699	+	CDS	CDS	phz3	phzC	2.5.1.54
MA3A0122S_0052	48738	49451	+	CDS	CDS	2,3-dihydro-2,3-dihydroxybenzoate dehydrogenase	dhbA/ entA	1.3.1.28
MA3A0122S_0053	49455	50090	+	CDS	CDS	putative isochorismatase		
MA3A0122S_0054	50087	51943	+	CDS	CDS	anthranilate synthase, phenazine specific	phzB	4.1.3.27
MA3A0122S_0055	51949	52899	+	CDS	CDS	putative amidohydrolase		
MA3A0122S_0056	53477	52896	-	CDS	CDS	transcriptional regulator, TetR family		
MA3A0122S_0057	53570	54778	+	CDS	CDS	putative carboxylesterase		
MA3A0122S_0058	54803	55930	+	CDS	CDS	putative monooxygenase		
MA3A0122S_0059	55927	56736	+	CDS	CDS	1H-3-hydroxy-4-oxoquinaldine 2,4-dioxygenase		
MA3A0122S_0060	57246	58529	+	CDS	CDS	aspartate aminotransferase	aspB2	2.6.1.1
MA3A0122S_0061	59182	58526	-	CDS	CDS	hypothetical protein		
MA3A0122S_0062	59927	59214	-	CDS	CDS	hypothetical protein		
MA3A0122S_0063	60526	59978	-	CDS	CDS	hypothetical protein		
MA3A0122S_0064	60810	62801	+	CDS	CDS	DNA polymerase III, subunit gamma and tau	dnaX	2.7.7.7
MA3A0122S_0065	64108	62798	-	CDS	CDS	putative FATTY ACID SYNTHASE		
MA3A0122S_0066	65475	64105	-	CDS	CDS	hypothetical protein		
MA3A0122S_0067	66739	65543	-	CDS	CDS	enolase		4.2.1.11
MA3A0122S_0068	67770	66814	-	CDS	CDS	putative aminoglycoside phosphotransferase		
MA3A0122S_0069	68446	67775	-	CDS	CDS	putative transcriptional regulator, TetR family		
MA3A0122S_0070	68556	69731	+	CDS	CDS	hypothetical protein		
MA3A0122S_0071	69745	70566	+	CDS	CDS	putative enoyl-CoA hydratase paaG		
MA3A0122S_0072	70616	71056	+	CDS	CDS	hypothetical protein		
MA3A0122S_0073	71802	71053	-	CDS	CDS	N-acetylmuramoyl-L-alanine amidase	amiD2	3.5.1.28
MA3A0122S_0074	71992	72312	+	CDS	CDS	DNA-binding protein, YbaB/EbfC family		
